,id,name,age,height,weight
0,163097,Tia-Clair Toomey,27,163 cm,58 kg
1,1547449,Emma Cary,17,64 in,140 lb
2,2942,Kara Saunders,31,162 cm,158 lb
3,310687,Kristi Eramo O'Connell,32,62 in,132 lb
4,1239980,Mallory O'Brien,17,63 in,145 lb
5,239442,Emma McQuaid,31,165 cm,64 kg
6,670000,Dani Speegle,27,66 in,168 lb
7,762495,Elena Carratala Sanahuja,27,,
8,168305,Brooke Wells,26,66 in,150 lb
9,671666,Haley Adams,20,67 in,140 lb
10,831149,Matilde Garnes,25,174 cm,68 kg
11,764556,Gabriela Migała,22,170 cm,75 kg
12,349097,Danielle Brandon,25,170 cm,150 lb
13,55121,Katrin Tanja Davidsdottir,28,169 cm,150 lb
14,1931423,Emma Lawson,16,,
15,305891,Kari Pearce,32,63 in,139 lb
16,120480,Kristin Holte,35,162 cm,59 kg
17,1239683,Amanda Fusuma,24,153 cm,56 kg
18,109085,Andrea Nisler,32,66 in,154 lb
19,174547,Amanda Barnhart,29,67 in,160 lb
20,592472,Bethany Shadburne,27,64 in,144 lb
21,236779,Chloe Gauvin-David,29,67 in,146 lb
22,455677,Larissa Cunha,30,153 cm,62 kg
23,197635,Amy Morton,33,163 cm,154 lb
24,1187609,Sasha Nievas,23,156 cm,59 kg
25,239148,Carolyne Prevost,31,63 in,145 lb
26,1220054,Paulina Haro,17,156 cm,63 kg
27,103389,Carol-Ann Reason-Thibault,33,164 cm,142 lb
28,19501,Thuridur Erla Helgadottir,29,164 cm,59 kg
29,280780,Kristine Best,31,63 in,138 lb
30,835320,Madeline Shelling,27,165 cm,69 kg
31,698210,Karin Freyová,26,170 cm,72 kg
32,93497,Mekenzie Riley,33,64 in,155 lb
33,530860,Shelby Neal,21,62 in,135 lb
34,1119323,Ellie Turner,23,167 cm,
35,299053,Jacqueline Dahlstrøm,29,167 cm,67 kg
36,12701,Mandi Janowitz,35,65 in,150 lb
37,1441210,Sydney Michalyshen,21,168 cm,153 lb
38,531598,Paige Semenza,29,63 in,143 lb
39,693139,Marnie Sykes,28,,
40,534577,Melina Rodriguez,25,156 cm,138 lb
41,887297,Emma Tall,29,168 cm,68 kg
42,512258,Sarah Massoni,28,165 cm,67 kg
43,250568,Kloie Wilson,23,67 in,155 lb
44,1346810,Seungyeon Choi,22,,
45,93784,Antea Longo,33,160 cm,60 kg
46,695819,Gabriella Moratti,21,163 cm,62 kg
47,21556,Madeline Sturt,24,158 cm,62 kg
48,796219,Hanna Karlsson,28,177 cm,81 kg
49,484380,Emily Rolfe,32,170 cm,152 lb
50,329428,Christee Bishop,30,158 cm,60 kg
51,591912,Laura Horváth,24,170 cm,70 kg
52,1306393,Olivia Sulek,17,65 in,145 lb
53,1207609,Freya Moosbrugger,19,165 cm,67 kg
54,686626,Manon Angonese,28,163 cm,66 kg
55,513420,MaryKay Dreisilker,31,63 in,150 lb
56,1316504,Maria Längfors,25,,
57,1239579,Anikha Greer,18,154 cm,
58,264813,Manon Lesur,30,163 cm,145 lb
59,60656,Justine Beath,31,163 cm,140 lb
60,262746,Kendall Vincelette,27,62 in,127 lb
61,252691,Feeroozeh Saghafi,26,62 in,130 lb
62,40756,Kelly Clark,34,64 in,145 lb
63,143139,Mikaela Norman,28,179 cm,68 kg
64,552309,Taylor Rector,28,64 in,154 lb
65,2088,Camilla Salomonsson Hellman,30,165 cm,69 kg
66,546042,Mary Helen Saunders,29,64 in,142 lb
67,1190381,Paige Powers,18,63 in,151 lb
68,144083,Yuko Sakuyama,34,152 cm,125 lb
69,478366,Kaela Stephano,20,61 in,116 lb
70,623803,Emelie Lundberg,31,162 cm,68 kg
71,585046,Baylee Rayl,25,,
72,485344,Rebecka Vitesson,27,173 cm,65 kg
73,196859,Leigha Dean,29,161 cm,137 lb
74,472971,Emma Chapman,33,62 in,130 lb
75,235110,Taylor Streid,30,66 in,140 lb
76,242149,Brenda Castro,32,2 cm,139 lb
77,999044,Rachel Green,40,,
78,1019212,Svetlana Kubyshkina,30,155 cm,60 kg
79,2536,Samantha Briggs,39,170 cm,135 lb
80,1028410,Kelly Stone,30,65 in,150 lb
81,123582,Cassidy Lance-Mcwherter,33,63 in,140 lb
82,683305,Sara Alicia Fernandez Costas,31,159 cm,63 kg
83,277184,Laura Gonzalez-Marin,27,67 in,148 lb
84,514514,Charlotte Spence,34,62 in,66 kg
85,594929,Tayla Howe,24,165 cm,75 kg
86,95256,Bailey Meraviglia,30,62 in,138 lb
87,270175,Evie Hollis,24,158 cm,145 lb
88,857531,Taylor Reber,27,,
89,581036,Adison Balderston,22,61 in,135 lb
90,1018713,Laura Clifton,26,162 cm,75 kg
91,115567,Janelle Shafer,27,63 in,140 lb
92,998366,Ella Wunger,23,170 cm,65 kg
93,39517,Emilia Leppänen,34,165 cm,150 lb
94,503582,Alexis Raptis,22,65 in,138 lb
95,664900,Nicole Gibson-Burke,28,63 in,125 lb
96,543986,Rachel Thibodeaux,28,63 in,130 lb
97,881734,Kaitlyn Anapolsky,30,63 in,150 lb
98,1458106,Lucy Campbell,25,168 cm,74 kg
99,902737,Tatiana Membré,31,157 cm,63 kg
100,221169,Victoria Fiamma Gomes Campos,28,161 cm,134 lb
101,717711,Taylor Ballek,24,65 in,140 lb
102,729434,Martyna Krysiak,31,163 cm,60 kg
103,908246,Faith Ferguson,20,63 in,150 lb
104,1021143,Valentina Rangel,24,163 cm,63 kg
105,387995,Stephanie Chung,29,65 in,150 lb
106,1542797,Metty Greneron,23,,
107,521069,Lena Richter,26,163 cm,62 kg
108,673145,Lexi Colabianchi,27,62 in,130 lb
109,1323373,Mariska Smit,28,168 cm,64 kg
110,951375,Claudia Gluck,22,160 cm,60 kg
111,160700,Jordan Adcock,29,66 in,140 lb
112,657874,Nienke van Overveld,27,160 cm,62 kg
113,314703,Caroline Conners,28,61 in,133 lb
114,229348,Aimee Tawhai,29,163 cm,66 kg
115,419882,Brittany Marella,29,63 in,150 lb
116,309246,Rita García,33,157 cm,125 lb
117,18588,Annie Thorisdottir,31,170 cm,152 lb
118,252266,Leah Irons,29,64 in,145 lb
119,8015,Rebecca Voigt Miller,40,69 in,152 lb
120,900568,Madison McElhaney,29,,160 lb
121,338296,Janie Garratt,28,158 cm,63 kg
122,99140,Breona Wallin,30,61 in,125 lb
